# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = linear_regression_907_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/robin/stan-models/linear_regression-907/linear_regression-907.json
# init = 2 (Default)
# random
#   seed = 1728159211 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.431736
# Diagonal elements of inverse mass matrix:
# 30.1401, 0.0357554, 0.00900752
-179.629,0.961534,0.431736,3,7,0,181.794,6.82215,-6.60625,22.698
-179.539,0.99699,0.431736,1,3,0,179.924,5.68539,-6.62082,23.3922
-179.928,0.890048,0.431736,3,11,0,180.626,9.52133,-6.66244,23.0243
-179.911,0.994594,0.431736,3,7,0,180.343,14.4965,-6.90106,21.7702
-180.057,0.852434,0.431736,3,15,0,181.256,5.38569,-6.55628,24.0721
-182.305,0.81351,0.431736,2,5,0,182.982,-3.44194,-6.58418,22.8814
-179.82,0.994592,0.431736,3,9,0,182.214,10.4557,-6.69985,22.1275
-179.471,1,0.431736,2,3,0,179.786,6.41388,-6.76063,21.8537
-182.329,0.674118,0.431736,3,15,0,183.178,15.1532,-6.70896,22.9295
-181.563,1,0.431736,1,1,0,182.512,14.3163,-6.71853,23.0196
-181.933,0.948257,0.431736,2,7,0,185.069,0.0172788,-6.69536,24.8084
-179.615,0.9901,0.431736,2,7,0,181.949,3.10221,-6.55435,23.0076
-181.327,0.9549,0.431736,2,5,0,182.146,0.228388,-6.48696,26.4612
-180.022,0.88045,0.431736,3,7,0,182.502,8.34728,-6.6229,23.4782
-179.824,0.961432,0.431736,2,7,0,180.7,4.69,-6.72119,20.7842
-179.872,1,0.431736,3,7,0,180.455,1.76194,-6.53648,20.6717
-180.309,0.853818,0.431736,4,15,0,181.182,12.3366,-6.9041,19.6446
-179.944,0.818949,0.431736,2,7,0,182.971,4.92016,-6.57785,24.2804
-179.872,0.98537,0.431736,2,3,0,180.165,4.33028,-6.55808,23.9358
-179.818,0.787651,0.431736,3,11,0,181.779,7.52959,-6.72135,24.5143
-179.429,0.941647,0.431736,4,15,0,180.957,7.93551,-6.68101,20.9015
-180.925,0.783302,0.431736,2,7,0,182.762,-1.05165,-6.59501,22.8687
-179.733,1,0.431736,2,3,0,181.002,2.9637,-6.55651,23.5187
-181.374,0.918459,0.431736,2,5,0,182.144,-3.3578,-6.3289,20.7116
-179.821,0.817077,0.431736,3,7,0,186.84,5.73467,-6.77496,22.7734
-179.826,0.978628,0.431736,2,7,0,181.034,5.8991,-6.7226,24.2139
